date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:07:36	23460/23460	---M--	200	added ('OK')	text/html	date:Fri,%2019%20May%202023%2016:21:11%20GMT	https://registroacademico.catolica.edu.sv/	C:/UNICAES/registroacademico.catolica.edu.sv/index.html	(from )
10:07:36	1282/1282	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2019%20May%202023%2016:21:11%20GMT	https://registroacademico.catolica.edu.sv/robots.txt		(from )
10:07:37	113550/113550	---M--	200	added ('OK')	text/css	etag:%220fc31b96ce7d11:0%22	https://registroacademico.catolica.edu.sv/rsc/assets/css/bootstrap.min.css	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/assets/css/bootstrap.min.css	(from https://registroacademico.catolica.edu.sv/)
10:07:38	21987/21987	---M--	200	added ('OK')	text/css	etag:%2202f61bfe6e1d11:0%22	https://registroacademico.catolica.edu.sv/rsc/assets/css/font-awesome.min.css	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/assets/css/font-awesome.min.css	(from https://registroacademico.catolica.edu.sv/)
10:07:38	45579/45579	---M--	200	added ('OK')	text/css	etag:%22013c4dcccbd11:0%22	https://registroacademico.catolica.edu.sv/rsc/assets/css/animate.css	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/assets/css/animate.css	(from https://registroacademico.catolica.edu.sv/)
10:07:39	764/764	---M--	200	added ('OK')	text/css	etag:%2280d5329d15e2d11:0%22	https://registroacademico.catolica.edu.sv/rsc/assets/css/li-scroller.css	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/assets/css/li-scroller.css	(from https://registroacademico.catolica.edu.sv/)
10:07:39	3762/3762	---M--	200	added ('OK')	text/css	etag:%22013c4dcccbd11:0%22	https://registroacademico.catolica.edu.sv/rsc/assets/css/slick.css	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/assets/css/slick.css	(from https://registroacademico.catolica.edu.sv/)
10:07:40	3967/3967	---M--	200	added ('OK')	text/css	etag:%22807e322413e2d11:0%22	https://registroacademico.catolica.edu.sv/rsc/assets/css/theme.css	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/assets/css/theme.css	(from https://registroacademico.catolica.edu.sv/)
10:07:42	22313/22313	---M--	200	added ('OK')	text/css	etag:%22807b6fef6ce7d11:0%22	https://registroacademico.catolica.edu.sv/rsc/assets/css/style.css	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/assets/css/style.css	(from https://registroacademico.catolica.edu.sv/)
10:07:43	207994/207994	---M--	200	added ('OK')	image/x-icon	etag:%2202ff5e37aefd11:0%22	https://registroacademico.catolica.edu.sv/rsc/images/u.ico	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/images/u.ico	(from https://registroacademico.catolica.edu.sv/)
